Target,Source
2MUw5XBBA2LuL7PdG7KpEB,74Ch11L4833kZ9VfyziR3K
59I6ASXkQ9rYBUK1oVcPIi,0VzXytleQwAWcnKUsTq3uv
1JWqETxOohXDqVj3gpr6vH,6SKjQxMxMyzH1kqpgv4XBj
6s1pCNXcbdtQJlsnM1hRIA,3LcP8zEKaPiCG1s5MlMWJA
6kic5bCjlohhDn9KzXbOta,2uYWxilOVlUdk4oV9DvwqK
3pB8QIJumrdCSnV2IvhrFz,4Rxn7Im3LGfyRkY2FlHhWi
46G3SVc0bvgrmNOOTM5KV5,4Rxn7Im3LGfyRkY2FlHhWi
4Rxn7Im3LGfyRkY2FlHhWi,3t5xRXzsuZmMDkQzgOX35S
4Rxn7Im3LGfyRkY2FlHhWi,3t5xRXzsuZmMDkQzgOX35S
0YinUQ50QDB7ZxSCLyQ40k,4Rxn7Im3LGfyRkY2FlHhWi
4Rxn7Im3LGfyRkY2FlHhWi,790FomKkXshlbRYZFtlgla
2jw70GZXlAI8QzWeY2bgRc,1YzaVDzA3EdEipDSUeNQER
2jw70GZXlAI8QzWeY2bgRc,2h6hAChW74hB9HvrNoK1RY
4YU3UhojseDCDttmr4F6D8,2jw70GZXlAI8QzWeY2bgRc
7Avzbxl2gqqc7yvBgBi8BA,2jw70GZXlAI8QzWeY2bgRc
4YU3UhojseDCDttmr4F6D8,2jw70GZXlAI8QzWeY2bgRc
3LpLGlgRS1IKPPwElnpW35,2jw70GZXlAI8QzWeY2bgRc
3bf7Y2it29DeOjXpIibCOe,2jw70GZXlAI8QzWeY2bgRc
2jw70GZXlAI8QzWeY2bgRc,2aimTInXI8IgnUeEwu25mB
30QbUq31PEXAT4QFYZyBAM,2mOzrayQHznyyCwOcGGHOr
1smczP1QDorQcyiGA69tF6,3aQeKQSyrW4qWr35idm0cy
77vYj1iBHh1gao0yd7ryGl,3aQeKQSyrW4qWr35idm0cy
6hxlIANxRjG8mQTcR8evvP,3aQeKQSyrW4qWr35idm0cy
2YOYua8FpudSEiB9s88IgQ,5R3Hr2cnCCjt220Jmt2xLf
2YOYua8FpudSEiB9s88IgQ,3aQeKQSyrW4qWr35idm0cy
5R3Hr2cnCCjt220Jmt2xLf,3aQeKQSyrW4qWr35idm0cy
2tDA2vvMMRpi5GZL0hzqqj,3p3jPcp8b7WL9XYj4xlsWj
2tDA2vvMMRpi5GZL0hzqqj,3aQeKQSyrW4qWr35idm0cy
3p3jPcp8b7WL9XYj4xlsWj,3aQeKQSyrW4qWr35idm0cy
3SEJQy90Vgg1aSnZ9b4AU9,3aQeKQSyrW4qWr35idm0cy
2tDA2vvMMRpi5GZL0hzqqj,3aQeKQSyrW4qWr35idm0cy
4Xi6LSfFqv26XgP9NKN26U,3aQeKQSyrW4qWr35idm0cy
6iDjXrTfCLKbHiJg9oPhLU,3aQeKQSyrW4qWr35idm0cy
3aQeKQSyrW4qWr35idm0cy,0cGUm45nv7Z6M6qdXYQGTX
31IZdHrCZ5pRhLz4zBxN3o,3aQeKQSyrW4qWr35idm0cy
31IZdHrCZ5pRhLz4zBxN3o,2ledyuziz6YjLK5Dw483Oc
3aQeKQSyrW4qWr35idm0cy,2ledyuziz6YjLK5Dw483Oc
25eSvHHBfgPVlQLGN4HPkU,3aQeKQSyrW4qWr35idm0cy
25eSvHHBfgPVlQLGN4HPkU,6JboUw8iZP7Ts7fDcVowP4
3aQeKQSyrW4qWr35idm0cy,6JboUw8iZP7Ts7fDcVowP4
3aQeKQSyrW4qWr35idm0cy,7bXgB6jMjp9ATFy66eO08Z
5bgfj5zUoWpyeVatGDjn6H,3aQeKQSyrW4qWr35idm0cy
0f5nVCcR06GX8Qikz0COtT,3aQeKQSyrW4qWr35idm0cy
0SY9EobiFWDqxhC2h1RNNg,3aQeKQSyrW4qWr35idm0cy
